matiere,cours,question n,source,texte de la question,option A,option B,option C,option D,option E,reponse
thème 13,Histologie et embryologie des glandes mammaires,1,"(Janvier 2012, [niveau1])",Soient les propositions suivantes se rapportant à la gonade indifférenciée :,Elle est formée par des cordons cellulaires en connexion avec la surface épithéliale,Est un stade commun aux deux types d'embryons,Persiste jusqu'à la fin du troisième mois,Contient des gonocytes qui continuent à se diviser,Se développe au niveau du bord antero-interne du corps de Wolff,Pas de réponse
thème 13,Histologie et embryologie des glandes mammaires,2,"(Juillet 2009, [niveau1])",Les propositions suivantes se rapportent à la glande mammaire :,Sa partie épithéliale a une origine épiblastique,Est une glande lobulée,Son tissu conjonctif interlobulaire porte le nom de tissu palléal,Pendant la lactation ses tissus conjonctif et adipeux se développent,Comporte des cellules myoépithéliales seulement dans sa portion sécrétrice,E
thème 13,Histologie et embryologie des glandes mammaires,3,"(Mars 2002, [niveau1])",Le lobule mammaire :,Est entouré d'un tissu de soutien fibreux dense,Contient des canaux galactophores,Renferme des cellules épithéliales à sécrétion apicale lors de la deuxième partie du cycle menstruel,Contient des cellules myoépithéliales bordant l'épithélium des canaux galactophores,S'atrophie sur le plan structural et fonctionnel après la ménopause,ABE
thème 13,Histologie et embryologie des glandes mammaires,4,"(Juillet 1999, [niveau1])",Les propositions suivantes se rapportent à la glande mammaire :,Elle est d'origine entoblastique,Sa portion sécrétrice est bordée par un épithélium cubique simple avec des cellules myoépithéliales,"Sa portion sécrétrice, quand la glande est en activité, est constituée d'acini",Le tissu conjonctif palléal est de type dense,Le tissu conjonctif palléal renferme de nombreux plasmocytes,BE
thème 13,Histologie et embryologie des glandes mammaires,5,"(Mars 1999, [niveau1])",Les propositions suivantes se rapportent à la glande mammaire :,C'est une glande tubulo-acineuse,Sa portion sécrétrice est bordée par un épithélium cubique avec des cellules myoépithéliales,Elle comporte un tissu conjonctif palléal de type dense,Elle se développe à partir d'un nodule épithélial thoracique,La crise néonatale est due à la suppression des hormones maternelles,BD
thème 13,Histologie et embryologie des glandes mammaires,6,"(Juin 2001, [niveau1])",Les propositions suivantes se rapportent à la glande mammaire :,Elle est d'origine épiblastique,L'aréole du sein renferme des cellules musculaires lisses,Les portions sécrétrices sont constituées de tubes contournés,Le tissu conjonctif palléal renferme de nombreux plasmocytes,La polymastie est caractérisée par l'absence totale de mamelon,BD
thème 13,Histologie et embryologie des glandes mammaires,7,"(Juin 2001, [niveau1])",Choisissez les réponses exactes,La crise néonatale correspond à la suppression des hormones maternelles,La mammogénèse est liée à l'équilibre hormonal de l'organisme par la prolactine,La galactopoïèse est retenue par un réflexe neuro-endocrinien,"La succion du mamelon induit au niveau de l'adénohypophyse, la décharge d'ocytocine qui stimule l'activité sécrétrice des cellules épithéliales",Aucune réponse n'est juste.,C
thème 13,Histologie et embryologie des glandes mammaires,8,"(Juin 2001, [niveau1])",Les propositions suivantes se rapportent à la glande mammaire :,Les portions sécrétrices d'une glande mammaire active sont constituées d'acini séreux,Les canaux galactophoriques intra lobulaires d'une glande mammaire active sont constitués par un épithélium cubique simple doublé de cellules myoépithéliales,Le derme de l'aréole du sein renferme des cellules musculaires lisses,Le sein d'une femme en activité génitale est constitué de deux à quatre glandes mammaires élémentaires,L'épithélium du sinus lactifère est de type pavimenteux stratifié non kératinisé,CE
thème 13,Histologie et embryologie des glandes mammaires,9,"(Juin 2001, [niveau1])",La glande mammaire :,Est d'origine entoblastique,Ses canaux intra-lobulaires sont bordés par un épithélium cubique bistratifié,Sa portion sécrétrice est bordée par un épithélium cubique simple avec des cellules myoépithéliales,Son tissu conjonctif renferme de nombreux plasmocytes,Ses sinus lactifères comportent un épithélium de type pavimenteux stratifié non kératinisé,BCDE
thème 13,Histologie et embryologie des glandes mammaires,11,"(Juin 2001, [niveau1])",Dans la glande mammaire d'une femme adulte :,L'aréole renferme un tissu fibro élastique et musculaire lisse,Le corps mammaire est constitué de 10 à 20 glandes mammaires élémentaires,Chaque glande élémentaire est drainée par plusieurs sinus lactifère,Les canaux interlobulaires sont entourés par une gaine de fibre conjonctivo-élastiques,Au niveau du sinus lactifère et du canal collecteur l'épithélium est de type prismatique simple,AB
thème 13,Histologie et embryologie des glandes mammaires,12,"(Juin 2001, [niveau1])",Les propositions suivantes se rapportent à la glande mammaire :,La glande mammaire est d'origine entoblastique,L'aréole du sein renferme des cellules musculaires lisses,Les canaux galactophoriques intralobulaires d'une glande mammaire active sont constitués par un épithélium cubique simple doublé de cellules myoépithéliales,Son tissu conjonctif renferme de nombreux plasmocytes,La région péri aréolaire est riche en vaisseau lymphatiques,BDE
thème 13,Expression et regulation de l information genetique ,1,(Janvier 2024),Régulation chromatinienne :,Un niveau de régulation spécifique chez les procaryotes,En rapport avec la configuration spatiale de l'ADN,Met en jeu des phénomènes de méthylation des guanines,Permet de faire le tri entre les gènes à transcrire,Met en jeu des ADN méthyltransférases,BDE
thème 13,Expression et regulation de l information genetique ,2,(Juillet 2005),La régulation chez les eucaryotes :,Met en jeu la configuration spatiale de la chromatine,Est en rapport avec le phénomène de méthylation,Peut impliquer des promoteurs multiples,Est due à une répression catabolique,Fait intervenir des séquences inhibitrices et stimulatrices de la transcription,ABCE
thème 13,Expression et regulation de l information genetique ,3,(Juillet 2002),La régulation chez les eucaryotes :,Fait intervenir plusieurs niveaux,Est variable en fonction du gène sollicité,Met en jeu la conformation spatiale de l'ADN,Met en jeu le phénomène de répression catabolique,Est en rapport avec la spécificité tissulaire,ABCE
thème 13,Expression et regulation de l information genetique ,4,(Juillet 1997),La régulation d'un gène chez les eucaryotes :,Met en jeu des séquences activatrices appelées Enhancers,Se fait uniquement au niveau transcriptionnel,Est en rapport avec la structure chromatinienne de l'ADN,Se fait par l'intermédiaire d'opérons,Fait appel à la méthylation des cytosines,ACE
thème 13,Expression et regulation de l information genetique ,5,(Juillet 1995),Une mutation génique :,Est une modification dans la séquence en acides nucléiques de l'ADN,Est toujours due à une délétion,N'entraîne pas systématiquement la synthèse d'une protéine anormale,Est à l'origine d'allèles nouveaux au sein des populations,Peut être mise en évidence par des techniques biologiques,ACDE
thème 13,Controle genetique de la differenciation sexuelle et processus de lyonisation,1,"(Juillet 2005, [niveau1])",Le phénomène de lyonisation :,Implique une inactivation d'un chromosome X chez la fille,Met en jeu uniquement le chromosome X d'origine maternelle,Se fait vers le douzième jour du développement embryonnaire,Est sous contrôle d'un centre localisé sur les bras court de l'X,Est en rapport avec la méthylation de l'ADN,ACE
thème 13,Controle genetique de la differenciation sexuelle et processus de lyonisation,2,"(Février 2005, [niveau1])",Le phénomène de Lyonisation :,Se traduit par l'inactivation d'un des chromosomes X chez la femme,Est contrôlé par un gène localisé sur le bras court du chromosome X,Implique la totalité du chromosome X,Concerne toujours le chromosome X d'origine paternelle,Est en rapport avec le processus de méthylation de l'ADN.,AE
thème 13,Controle genetique de la differenciation sexuelle et processus de lyonisation,3,"(Février 2005, [niveau1])",La détermination du sexe :,Est un phénomène en cascade,Est sous contrôle hormonal,Dépend du sexe chromosomique,Implique des gènes du chromosome X,Met en jeu des gènes autosomiques.,ABCDE
thème 13,Controle genetique de la differenciation sexuelle et processus de lyonisation,4,"(Juillet 2004, [niveau1])",Le phénomène de la lyonisation :,Se fait à un stade précoce du développement embryonnaire,Est contrôlé par le gène XIST,Implique toujours le chromosome X d'origine paternelle,Inactive uniquement le bras p du chromosome X,Fait intervenir le phénomène de méthylation,ABE
thème 13,Controle genetique de la differenciation sexuelle et processus de lyonisation,5,"(Juillet 2004, [niveau1])",La différenciation sexuelle :,Est sous la dépendance de facteurs hormonaux,Est contrôlée par un gène unique SRY chez le garçon,Met en jeu un gène localisé sur le chromosome 19.,Est un phénomène en cascade,Implique un gène du chromosome X,ACD
